condition,seed,n_correct,fbc_mean,fbc_std,spg_hit_rate,sharpness_mean,sharpness_std,best_epoch,test_acc
baseline,42,242,0.16905180720690216,0.1070841193697156,0.3305785123966942,10.339330342190324,0.2861241978655901,174,0.685
vanilla_mixup,42,255,0.14046065793731408,0.04979918447993691,0.3254901960784314,10.484763238944259,0.09654054567841944,165,0.6875
cutmix,42,231,0.18609466028749336,0.11562874585181189,0.2813852813852814,10.246350829219406,0.3063399554941249,140,0.69
puzzle_mix,42,229,0.19704401091556617,0.11617636048043452,0.33624454148471616,10.317824163811697,0.3014098161406689,128,0.63
