true_class,fbc,spg_hit,sharpness
3,0.356795,1,9.871382
49,0.117221,1,10.536059
49,0.094485,0,10.505735
49,0.113867,0,10.497787
49,0.083644,0,10.502879
49,0.106549,0,10.497414
49,0.157010,0,10.476137
49,0.155130,1,10.489916
26,0.136767,0,10.496553
22,0.134249,0,10.525180
15,0.115614,0,10.488571
5,0.215863,1,10.365827
30,0.255087,0,10.427812
15,0.163583,0,10.396854
14,0.123743,0,10.552111
26,0.255456,1,10.438799
34,0.159578,1,10.449419
39,0.165703,1,10.440723
39,0.200863,1,10.431651
39,0.143725,0,10.454252
9,0.141329,0,10.526528
15,0.188983,1,10.426783
25,0.103211,0,10.558653
26,0.267766,0,10.366004
6,0.187935,0,10.488567
6,0.149787,0,10.524650
36,0.136868,0,10.509176
0,0.122906,1,10.484173
